,Project Name,Transacated Price per Unit,Area (SQFT),Unit Price ($ PSF),Street Name,Floor Level,Sale Date,Year
10000,TERRA HILL,5161150.0,1894.46,2724,YEW SIANG ROAD,01 to 05,2024-02-01,2024
10001,TERRA HILL,5161150.0,1894.46,2724,YEW SIANG ROAD,01 to 05,2024-02-01,2024
10002,SPOTTISWOODE SUITES,1080000.0,441.32,2447,SPOTTISWOODE PARK ROAD,26 to 30,2024-02-01,2024
10003,STIRLING RESIDENCES,1416000.0,624.31,2268,STIRLING ROAD,31 to 35,2024-02-01,2024
10004,COMMONWEALTH TOWERS,2300000.0,1054.87,2180,COMMONWEALTH AVENUE,16 to 20,2024-02-01,2024
10005,CARIBBEAN AT KEPPEL BAY,2260000.0,1227.1,1842,KEPPEL BAY DRIVE,01 to 05,2024-02-01,2024
10006,ECHELON,1900000.0,1001.05,1898,ALEXANDRA VIEW,01 to 05,2024-02-01,2024
10007,ONE-NORTH RESIDENCES,2220000.0,1313.21,1691,ONE-NORTH GATEWAY,11 to 15,2024-02-01,2024
10008,MIDTOWN MODERN,1540440.0,409.03,3766,TAN QUEE LAN STREET,26 to 30,2024-02-01,2024
10009,SEAHILL,1000000.0,624.31,1602,WEST COAST CRESCENT,06 to 10,2024-01-01,2024
10010,THE LANDMARK,2022391.0,764.24,2646,CHIN SWEE ROAD,31 to 35,2024-01-01,2024
10011,MARINA BAY SUITES,5000000.0,2680.24,1866,CENTRAL BOULEVARD,16 to 20,2024-01-01,2024
10012,CORALS AT KEPPEL BAY,6300000.0,2572.6,2449,KEPPEL BAY DRIVE,01 to 05,2024-01-01,2024
10013,VIVA VISTA,685000.0,322.92,2121,SOUTH BUONA VISTA ROAD,01 to 05,2024-01-01,2024
10014,THE LANDMARK,1910888.0,678.13,2818,CHIN SWEE ROAD,21 to 25,2024-01-01,2024
10015,LUMIERE,1065000.0,678.13,1570,MISTRI ROAD,21 to 25,2024-01-01,2024
10016,KENT RIDGE HILL RESIDENCES,1255000.0,645.84,1943,SOUTH BUONA VISTA ROAD,01 to 05,2024-01-01,2024
10017,QUEENS PEAK,1550000.0,775.01,2000,DUNDEE ROAD,21 to 25,2024-01-01,2024
10018,ICON,1900000.0,936.47,2029,GOPENG STREET,36 to 40,2024-01-01,2024
10019,WHISTLER GRAND,2050000.0,1065.64,1924,WEST COAST VALE,26 to 30,2024-01-01,2024
10020,EMERALD GARDEN,2330000.0,979.52,2379,CLUB STREET,11 to 15,2024-01-01,2024
10021,MONTEREY PARK CONDOMINIUM,2250000.0,1367.03,1646,WEST COAST RISE,01 to 05,2024-01-01,2024
10022,THE LANDMARK,2957800.0,1140.98,2592,CHIN SWEE ROAD,21 to 25,2024-01-01,2024
10023,THE TRILINQ,1708888.0,1108.69,1541,JALAN LEMPENG,11 to 15,2024-01-01,2024
10024,ROBINSON SUITES,1800000.0,936.47,1922,ROBINSON ROAD,06 to 10,2024-01-01,2024
10025,CORALS AT KEPPEL BAY,1300000.0,570.49,2279,KEPPEL BAY DRIVE,01 to 05,2024-01-01,2024
10026,THE PEAK@BALMEG,1780000.0,990.29,1797,BALMEG HILL,01 to 05,2024-01-01,2024
10027,THE PARC CONDOMINIUM,2380000.0,1302.44,1827,WEST COAST WALK,11 to 15,2024-01-01,2024
10028,EMERALD PARK,1980000.0,1453.14,1363,INDUS ROAD,11 to 15,2024-01-01,2024
10029,ONE SHENTON,1350000.0,871.88,1548,SHENTON WAY,11 to 15,2024-01-01,2024
