Project Name,Median $PSF 2019,Median $PSF 2020,Median $PSF 2021,Median $PSF 2022,Median $PSF 2023,Median $PSF 2024
# 1 LOFT,1149.0,1090.0,1192.0,1229.5,1302.0,0.0
1 KING ALBERT PARK,1475.5,1527.0,1715.0,1900.0,1819.0,0.0
1 MOULMEIN RISE,1882.0,1858.0,1918.5,1882.0,1976.0,0.0
10 SHELFORD,1702.0,1050.0,1801.0,1770.0,1944.0,0.0
11 AMBER ROAD,1404.0,1323.0,1498.5,1812.0,0.0,0.0
111 EMERALD HILL,1928.0,2335.5,2162.0,2233.5,2284.0,0.0
16 @ AMBER,1603.0,0.0,1763.0,1648.0,1760.0,0.0
1919,1846.0,1930.0,2063.0,1966.0,2168.0,0.0
1953,1863.0,1894.0,1933.0,1911.0,1858.5,0.0
2 RVG,1959.0,1925.0,2052.0,2052.0,0.0,0.0
21 RICHARDS,1201.0,1242.0,1452.5,1299.0,1579.0,0.0
26 NEWTON,2225.0,2317.0,2297.0,2121.5,2240.0,0.0
28 IMPERIAL RESIDENCES,1326.0,1305.5,1199.0,0.0,1623.5,1470.0
28 RC SUITES,1548.0,0.0,1555.0,1626.0,1722.0,0.0
28 SHELFORD,1661.5,0.0,1610.0,1870.0,0.0,0.0
283 STUDIO,1612.0,0.0,0.0,0.0,1953.0,0.0
3 CUSCADEN,3561.5,3764.5,4199.0,3901.0,3982.0,0.0
3 ORCHARD BY-THE-PARK,3600.0,3499.5,3449.0,3666.0,3871.0,0.0
336 RIVER VALLEY,2462.0,0.0,0.0,0.0,0.0,0.0
35 GILSTEAD,2539.0,2569.0,2544.5,2571.5,2368.5,2371.0
368 THOMSON,1597.0,1611.0,1629.5,1855.0,1892.0,0.0
38 I SUITES,1543.5,1482.0,1468.0,1679.0,1768.0,0.0
38 JERVOIS,2492.0,2058.0,2576.0,0.0,0.0,0.0
6 DERBYSHIRE,1817.0,1812.0,2138.5,2205.5,2058.5,0.0
76 SHENTON,1719.5,1824.5,1873.5,1956.5,1962.5,2018.5
8 @ MOUNT SOPHIA,1445.0,1421.0,1500.0,1585.0,1623.0,1410.5
8 BASSEIN,1732.0,1725.0,1747.5,1858.0,1871.5,0.0
8 FARRER SUITES,1654.5,1596.5,1622.0,1502.0,1730.0,0.0
8 HULLET,3464.0,0.0,3671.0,3003.0,0.0,0.0
8 NAPIER,2881.0,0.0,0.0,3367.0,3348.5,0.0
8 RAJA,1260.0,1209.0,1235.0,0.0,0.0,0.0
8 SAINT THOMAS,3147.5,2781.0,2699.0,0.0,3134.0,0.0
833 M B RESIDENCES,1025.0,0.0,1498.5,1337.5,0.0,0.0
8@WOODLEIGH,1281.5,1321.0,1421.0,1551.0,1714.0,0.0
91 MARSHALL,1672.0,1593.0,1575.5,1699.0,0.0,0.0
A TREASURE TROVE,1133.0,1141.0,1161.0,1274.0,1417.0,1456.0
AALTO,1927.0,2050.5,2011.0,2158.0,2478.0,0.0
ADAM PARK CONDOMINIUM,1203.5,1295.0,1418.0,1722.0,2007.0,0.0
ADAM PLACE,1366.0,0.0,1675.0,0.0,0.0,0.0
ADANA @ THOMSON,1650.0,1754.0,1737.0,1856.0,1921.0,0.0
ADRIA,1761.5,1771.0,1851.0,2074.5,2118.0,2285.0
AFFINITY AT SERANGOON,1496.0,1570.0,1558.0,1607.5,1765.0,1778.0
AFFLUENCE COURT,913.0,0.0,977.0,0.0,0.0,0.0
AIRSTREAM,1380.0,1175.5,1424.0,1428.0,1524.5,0.0
ALBA,3204.0,0.0,2309.0,0.0,3989.0,0.0
ALEGRIA,1504.0,1294.0,0.0,1573.0,0.0,0.0
ALESSANDREA,1297.5,1494.0,1530.0,1639.0,1662.5,0.0
ALEX RESIDENCES,1810.5,1819.5,1913.0,1948.5,2072.0,0.0
ALEXIS,1618.5,1502.0,1461.0,1705.0,1705.0,2009.0
ALLSWORTH PARK,1525.5,1547.5,1701.0,1664.0,2042.0,0.0
ALTEZ,2177.0,2049.5,1997.5,2035.5,1964.0,0.0
AMANINDA,1493.0,1530.0,1518.5,1712.5,1679.0,1770.0
AMARANDA GARDENS,1487.0,1508.5,1523.0,1708.0,1980.5,2064.0
AMARYLLIS VILLE,1568.0,1569.5,1678.0,1824.5,1929.0,0.0
AMBER 45,2090.5,2221.0,2406.0,2461.0,2676.0,0.0
AMBER PARK,2474.0,2452.0,2448.0,2482.0,2607.5,0.0
AMBER POINT,1657.0,0.0,1606.0,1696.0,2144.0,0.0
AMBER RESIDENCES,1648.0,1745.0,1752.5,1836.0,2062.0,0.0
AMBER SKYE,2038.5,1670.5,1716.5,2184.0,2194.0,2397.0
ANGULLIA PARK RESIDENCES @ ORCHARD,2298.5,0.0,2232.0,2509.0,2362.0,0.0
APLETON VIEW,1617.0,0.0,1819.0,1744.0,0.0,0.0
APOLLO GARDENS,875.0,0.0,1037.0,1037.0,1270.0,0.0
AQUARINE GARDENS,1127.0,0.0,1386.0,1353.5,0.0,0.0
AQUARIUS BY THE PARK,929.0,902.5,951.0,1076.0,1157.0,1258.0
ARCHIPELAGO,1279.0,1120.0,1167.0,1327.0,1469.0,1489.0
ARDMORE II,2767.0,2718.0,3004.0,2994.5,3261.0,3439.0
ARDMORE PARK,3189.0,2947.0,3362.5,3899.5,4454.5,0.0
ARDMORE THREE,2882.0,0.0,3292.5,3128.5,4160.5,0.0
ARENA RESIDENCES,1840.0,1862.0,1890.0,1970.0,2080.5,0.0
ARTHUR 118,1558.0,0.0,1737.0,1894.0,1908.0,0.0
ARTRA,1922.5,2037.0,1950.0,2081.0,2274.5,2394.0
ASCENT @ 456,1234.0,0.0,0.0,1386.0,1423.0,0.0
ASCENTIA SKY,1526.0,1492.0,1512.0,1721.0,1776.0,1762.5
ASPEN HEIGHTS,1699.0,1751.0,1888.0,2044.5,2117.0,0.0
ASTON MANSIONS,845.0,874.0,941.0,1008.0,1167.0,0.0
ASTOR,832.5,820.5,946.0,1018.0,0.0,0.0
ASTOR GREEN,1172.5,1041.5,1221.0,1270.0,1372.5,0.0
ASTORIA PARK,1070.0,1014.0,1023.0,1134.0,1242.0,0.0
ASTRID MEADOWS,1751.0,1718.0,1986.0,2150.5,2245.0,0.0
ATRIUM RESIDENCES,1151.0,912.0,1120.0,1264.5,1298.0,1374.0
ATTITUDE AT KIM YAM,2113.0,1742.0,2188.0,0.0,0.0,2182.0
AURALIS,1413.0,1455.5,1555.0,1535.0,1629.0,0.0
AVA TOWERS,1125.0,0.0,1202.0,1320.0,1290.0,0.0
AVANT RESIDENCES,1495.0,0.0,1018.5,0.0,1574.0,1504.0
AVENUE SOUTH RESIDENCE,1949.0,2050.0,2224.0,2356.0,2299.0,2333.0
AVILA GARDENS,857.5,843.0,921.0,1011.0,1171.0,0.0
AVON PARK,1346.0,1420.0,0.0,0.0,0.0,0.0
AXIS @ SIGLAP,1414.0,1112.0,1052.0,1260.5,1228.0,0.0
AZALEA PARK CONDOMINIUM,887.0,835.0,893.5,1039.5,1054.0,0.0
BALCON EAST,1273.5,1148.5,0.0,1464.0,1370.5,0.0
BALESTIER PLAZA,1090.0,1087.5,1129.5,0.0,0.0,0.0
BALLOTA PARK CONDOMINIUM,770.0,762.5,816.5,891.0,1003.5,978.0
BALMORAL 8,1817.5,1937.0,1853.0,2173.0,2268.0,0.0
BALMORAL GATE,1661.0,1674.5,0.0,2132.0,2086.0,0.0
BALMORAL HEIGHTS,1876.0,1888.5,1890.0,2082.0,2323.0,0.0
BALMORAL HILLS,1572.0,2034.0,2119.0,2358.0,2305.0,2348.0
BALMORAL PLAZA,1309.0,0.0,0.0,0.0,0.0,0.0
BALMORAL RESIDENCES,1938.0,0.0,0.0,2038.0,2294.0,0.0
BALMORAL TOWER,1602.0,0.0,0.0,0.0,0.0,0.0
BALMY COURT,855.0,941.0,743.0,1054.0,0.0,0.0
BANYAN CONDOMINIUM,1239.0,0.0,1252.0,1210.0,0.0,0.0
BARTLEY RESIDENCES,1338.0,1351.5,1376.0,1530.5,1680.5,1752.0
BARTLEY RIDGE,1426.0,1435.0,1484.0,1598.5,1750.5,1841.5
BASSEIN COURT,1429.0,0.0,1429.5,0.0,0.0,0.0
BAYOU RESIDENCE,1046.5,0.0,1175.0,1092.0,0.0,0.0
BAYSHORE PARK,963.0,965.0,1037.0,1197.5,1324.0,1324.0
BAYVILLE CONDOMINIUM,989.5,1144.0,1163.0,0.0,1310.5,0.0
BAYWATER,1016.0,975.0,1033.5,1102.0,1241.5,1401.0
BEACON HEIGHTS,1140.5,1185.0,1213.5,1310.0,1465.0,0.0
BEAUTY WORLD CENTRE,801.0,828.0,893.0,1004.5,1063.0,0.0
BEAVERTON COURT,1378.0,1363.0,1474.0,1651.0,1780.0,0.0
BEDOK COURT,850.0,750.0,844.0,919.0,1010.0,0.0
BEDOK RESIDENCES,1453.0,1468.0,1507.0,1600.0,1699.5,0.0
BELLA VISTA,1133.0,1080.0,0.0,1356.0,1431.0,0.0
BELLE VUE RESIDENCES,1913.0,1946.0,1984.5,2060.5,1676.0,0.0
BELLERIVE,1752.5,1751.0,1832.5,2048.0,2257.5,2131.0
BELLEZZA @ KATONG,1228.0,0.0,1244.0,1510.0,1580.0,0.0
BELMOND GREEN,1888.5,1657.0,2071.0,2258.0,2406.0,0.0
BEVERLY HILL,2091.0,0.0,2138.5,2414.5,2382.0,0.0
BIJOU,1987.0,2008.0,2026.5,2154.0,2011.5,0.0
BIRMINGHAM MANSIONS,1496.0,0.0,1676.5,1812.0,1839.0,0.0
BISHAN 8,1240.0,1204.0,1247.0,1394.0,1599.5,1462.0
BISHAN PARK CONDOMINIUM,969.0,1034.5,1067.0,1109.0,1290.0,1328.5
BISHAN POINT,1179.5,1175.5,1223.0,1302.0,1396.0,0.0
BISHOPSGATE RESIDENCES,3278.0,3646.0,3761.0,0.0,3634.5,0.0
BLEU @ EAST COAST,1186.0,1233.0,1321.0,1422.0,1384.0,0.0
BLISS LOFT,786.0,1164.0,1194.0,0.0,1388.0,0.0
BLISS VILLE,1096.0,0.0,910.5,1231.0,1318.5,0.0
BLISS@KOVAN,1421.0,1448.5,1479.5,1467.0,1594.0,1587.0
BLOSSOM MANSIONS,916.0,902.0,0.0,0.0,0.0,0.0
BLOSSOM VIEW,889.0,919.0,0.0,1007.0,0.0,0.0
BLOSSOMS @ WOODLEIGH,1381.0,1398.5,1543.0,1649.0,1767.0,0.0
BLU CORAL,1118.0,1130.0,1209.0,1121.0,0.0,0.0
BLUE HORIZON,1062.0,1053.0,1130.0,1223.0,1320.0,1391.0
BLUWATERS,928.5,0.0,952.0,1053.0,1204.5,0.0
BOATHOUSE RESIDENCES,1002.5,1027.0,1060.0,1190.0,1277.5,1321.5
BOONVIEW,1303.5,1355.0,1482.0,1636.0,1610.0,0.0
BOTANIC GARDENS MANSION,1820.0,1795.0,2154.0,2080.0,2052.0,0.0
BOTANIC GARDENS VIEW,2332.0,2128.0,2345.5,2185.5,2720.0,0.0
BOTANIKA,2047.0,0.0,1898.0,0.0,2373.0,0.0
BOTANIQUE AT BARTLEY,1500.0,1499.0,1564.5,1663.0,1805.0,1695.0
BOTANNIA,1249.0,1255.0,1312.0,1477.0,1673.0,0.0
BOUGAINVILLA APARTMENTS,878.5,0.0,0.0,976.0,0.0,0.0
BOULEVARD 88,3662.0,3683.5,3738.0,4041.0,3743.0,0.0
BOULEVARD VUE,4686.0,0.0,2664.0,0.0,3504.0,0.0
BOWMONT CENTRE,1099.0,929.0,0.0,1214.5,0.0,0.0
BRADDELL VIEW,880.0,826.0,868.5,992.0,1024.5,1000.0
BREEZE BY THE EAST,1187.5,1284.0,1246.0,1480.5,0.0,0.0
